Question,Answer,Score
??? ?? ?????????,????? ??? ????? ??????? ??????? ?? ????????,0.876651287
??? ?? ?????????,?????? ?? ??????? ??? ????? ??????? ????????,0.874658585
??? ?? ?????????,???? ????? ?????? ?? ???????? ???????? ?? ??????,0.874074459
??? ?? ?????????,??? ????? ????? ?????? ????????,0.873405099
??? ?? ?????????,????? ????? ???? ???????? ?????? ?? ????????,0.865273952
??? ?? ?????????,???????? ????? ?????? ????,0.864348114
??? ?? ?????????,??? ????? ???? ?? ????????,0.86377728
??? ?? ?????????,????? ????? ???? ???????? ?????? ?? ????????,0.863074541
??? ?? ?????????,??? ????? ??????? ??????? ???????? ?? ?????? ????????,0.861445427
??? ?? ?????????,???????? ????? ???? ??? ?? ?????? ??? ??????? ??????,0.845139265
??? ?? ?????????,??? ????? ??? ????? ??? ??????? ???????,0.845043302
??? ?? ?????????,???? ????? ?????? ?? ???????? ???????? ?? ??????,0.841366053
??? ?? ?????????,??????? ?????? ?????? ?????? ?? ??????,0.836410403
??? ?? ?????????,???????? ?????? ????? ??? ?? ?????? ????????,0.830305338
??? ?? ?????????,???????? ????? ?????? ????,0.826827824
??? ?? ?????????,???????? ????? ???? ??? ?? ?????? ??? ??????? ??????,0.823391199
??? ?? ?????????,????? ??? ?????? ??????? ??? ???????? ????????,0.819162011
??? ?? ?????????,??? ??????? ?????? ???????? ?? ????????,0.818985283
??? ?? ?????????,????? ??? ????? ??????? ??????? ?? ????????,0.814724088
??? ?? ?????????,???????? ?????? ?? ??????? ????????,0.81357491
??? ?? ?????????,?? ?????? ?? ??? ????? ???????? ?? ???????? ??? ??????? ???????,0.813436985
??? ?? ?????????,???????? ????? ?????? ????,0.812094927
??? ?? ?????????,?????? ????? ?????? ?? ???????? ?? ????? ??????,0.811635077
??? ?? ?????????,??? ????? ??? ????? ??? ??????? ???????,0.810645461
??? ?? ?????????,????? ????? ???? ???????? ?????? ?? ????????,0.80643487
??? ?? ?????????,?????? ????? ?????? ?? ???????? ?? ????? ??????,0.806244433
??? ?? ?????????,??? ????? ??? ????? ??? ??????? ???????,0.800822735
??? ?? ?????????,???????? ????? ????? ??????? ???????,0.80074501
??? ?? ?????????,??? ??????? ?????????,0.799020171
??? ?? ?????????,?? ?????? ???? ??????? ??? ??????? ????????,0.797715664
??? ?? ?????????,???????? ?????? ?? ??????? ????????,0.797452092
??? ?? ?????????,???????? ???? ??? ???? ????,0.796456933
??? ?? ?????????,?????? ?? ??????? ??? ????? ??????? ????????,0.79617095
??? ?? ?????????,???????? ?????? ????? ??? ?? ?????? ????????,0.79501617
??? ?? ?????????,??? ??????? ?????? ???????? ?? ????????,0.793853164
??? ?? ?????????,??? ????? ????? ?????? ????????,0.792264104
??? ?? ?????????,???????? ????? ??? ?????? ???????? ?????? ???????,0.792056799
??? ?? ?????????,??? ????? ???? ?? ????????,0.791526139
??? ?? ?????????,??? ????? ??????,0.791334867
??? ?? ?????????,?????? ?? ??????? ??? ????? ??????? ????????,0.789681792
??? ?? ?????????,?????? ?? ???????? ???????,0.788576782
??? ?? ?????????,????? ??? ??????? ???????? ?? ????? ??????? ?? ???????? ??????,0.78431195
??? ?? ?????????,??? ?????? ?? ??? ???? ????? ???????,0.783531308
??? ?? ?????????,???????? ?????? ?? ??????? ????????,0.783103824
??? ?? ?????????,???????? ?????? ????? ??? ?? ?????? ????????,0.781502783
??? ?? ?????????,?? ????? ???? ????? ?????? ?? ???????? ????? ????,0.780632257
??? ?? ?????????,???????? ????? ?????? ????,0.780409575
??? ?? ?????????,??? ????? ???? ?? ????????,0.779649615
??? ?? ?????????,??? ????? ??? ????? ??? ??????? ???????,0.779126942
??? ?? ?????????,????? ????? ???? ???????? ?????? ?? ????????,0.777261853
??? ?? ?????????,??? ??????? ?????????,0.7769804
??? ?? ?????????,????? ??? ???? ??????? ??????? ??? ??????? ?? ????????,0.774733901
??? ?? ?????????,????? ?????? ???? ????? ?? ???? ????? ???? ????????? ??????? ???????,0.77411288
??? ?? ?????????,????? ????? ???? ???????? ?????? ?? ????????,0.773933411
??? ?? ?????????,??? ????? ??????? ??????? ???????? ?? ?????? ????????,0.773485065
??? ?? ?????????,???????? ????? ????? ??????? ???????,0.772700429
??? ?? ?????????,????? ??? ???? ??????? ??????? ??? ??????? ?? ????????,0.771758556
??? ?? ?????????,???? ????? ?????? ?? ???????? ???????? ?? ??????,0.770020068
??? ?? ?????????,??? ???????,0.769736648
??? ?? ?????????,???????? ??? ????? ??????,0.769564807
??? ?? ?????????,?? ?????? ?? ??? ????? ???????? ?? ???????? ??? ??????? ???????,0.769191802
??? ?? ?????????,??? ????? ???? ?? ????????,0.769031107
??? ?? ?????????,??? ??????? ?????????,0.768213272
??? ?? ?????????,??? ??????? ?????????,0.767907023
??? ?? ?????????,??? ????? ????? ?????? ????????,0.766457081
??? ?? ?????????,???????? ????? ???? ??? ?? ?????? ??? ??????? ??????,0.765779555
??? ?? ?????????,????? ??? ?????? ??????? ??? ???????? ????????,0.765574515
??? ?? ?????????,????? ????? ??? ???? ???? ?????? ????????,0.764597058
??? ?? ?????????,???????? ?? ?????? ?????? ?? ??????? ????? ????? ???? ??? ?????? ????????? ?????? ??????,0.764502227
??? ?? ?????????,????? ??? ???? ??????? ??????? ??? ??????? ?? ????????,0.764198661
??? ?? ?????????,??? ????? ????? ?????? ????????,0.764050841
??? ?? ?????????,??? ??????? ?????????,0.763739288
??? ?? ?????????,?? ????? ???? ????? ?????? ?? ???????? ????? ????,0.763459444
??? ?? ?????????,??????? ??????? ?????? ????????? ?????? ????? ??????? ?? ???????? ???????,0.760463834
??? ?? ?????????,????? ??? ????? ??????? ??????? ?? ????????,0.760441482
??? ?? ?????????,????? ????? ?????? ?? ???????? ???????? ?????? ?????????,0.759713829
??? ?? ?????????,??? ??? ???????? ???? ????? ???????,0.759615719
??? ?? ?????????,???????? ????? ??? ?????? ???????? ?????? ???????,0.75955677
??? ?? ?????????,??? ?????? ?? ??? ???? ????? ???????,0.759278774
??? ?? ?????????,??? ????? ????? ?????? ????????,0.758163154
??? ?? ?????????,??? ????? ??????,0.7578035
??? ?? ?????????,?? ?????? ???? ??????? ??? ??????? ????????,0.756465912
??? ?? ?????????,??? ???????,0.756226838
??? ?? ?????????,????? ????? ??? ???? ???? ?????? ????????,0.754458904
??? ?? ?????????,???? ????? ?????? ?? ???????? ???????? ?? ??????,0.75410527
??? ?? ?????????,?? ????? ???? ????? ?????? ?? ???????? ????? ????,0.753644705
??? ?? ?????????,??? ??????? ?????? ???????? ?? ????????,0.75300318
??? ?? ?????????,?????? ????? ?????? ?? ???????? ?? ????? ??????,0.75280869
??? ?? ?????????,?? ?????? ???? ??????? ??? ??????? ????????,0.752692938
??? ?? ?????????,???????? ????? ??? ?????? ???????? ?????? ???????,0.752523184
??? ?? ?????????,???????? ?? ?????? ?????? ?? ??????? ????? ????? ???? ??? ?????? ????????? ?????? ??????,0.752371669
??? ?? ?????????,??? ???????,0.752266407
??? ?? ?????????,????? ?????? ???? ????? ?? ???? ????? ???? ????????? ??????? ???????,0.75186789
??? ?? ?????????,???????? ????? ???? ??? ?? ?????? ??? ??????? ??????,0.751624644
??? ?? ?????????,?????? ????? ?????? ?? ???????? ?? ????? ??????,0.751310468
??? ?? ?????????,????? ??? ???? ??????? ??????? ??? ??????? ?? ????????,0.750898182
??? ?? ?????????,???? ??? ????? ???????? ???? ???? ??????,0.750315964
??? ?? ?????????,?????? ?? ??????? ??? ????? ??????? ????????,0.748526335
??? ?? ?????????,???????? ????? ???? ??? ?? ?????? ??? ??????? ??????,0.748353481
??? ?? ?????????,??? ??????? ????????,0.747822881
??? ?? ?????????,???????? ???? ????? ????? ???????? ?????? ???????,0.747814357
??? ?? ?????????,?????? ?? ??????? ???? ???????? ????? ???? ?????,0.747496665
??? ?? ?????????,?? ????? ??? ????,0.74412179
??? ?? ?????????,?? ?????? ?? ??? ????? ???????? ?? ???????? ??? ??????? ???????,0.742554545
??? ?? ?????????,??? ????? ??????? ??????? ???????? ?? ?????? ????????,0.742387056
??? ?? ?????????,?????? ?? ??????? ??? ????? ??????? ????????,0.741765916
??? ?? ?????????,?????? ?? ???????? ???????,0.740703285
??? ?? ?????????,??? ??? ???????? ???? ????? ???????,0.740519762
??? ?? ?????????,?? ?????? ???? ??????? ??? ??????? ????????,0.740264177
??? ?? ?????????,???????? ????? ??? ?????? ???????? ?????? ???????,0.739422083
??? ?? ?????????,???????? ?? ?????? ?????? ?? ??????? ????? ????? ???? ??? ?????? ????????? ?????? ??????,0.739096999
??? ?? ?????????,??????? ?????? ?????? ?????? ?? ??????,0.737981677
??? ?? ?????????,???????? ?????? ????? ??? ?? ?????? ????????,0.737443209
??? ?? ?????????,????? ??? ????? ??????? ??????? ?? ????????,0.737216473
??? ?? ?????????,??? ?????? ?? ??? ???? ????? ???????,0.73692131
??? ?? ?????????,?????? ?? ???????? ???????,0.736724257
??? ?? ?????????,?? ????? ???? ????? ?????? ?? ???????? ????? ????,0.735254526
??? ?? ?????????,????? ????? ??? ???? ???? ?????? ????????,0.734500885
??? ?? ?????????,??? ???????? ??????? ?????? ????? ???????? ????????,0.733674765
??? ?? ?????????,??? ???????,0.732967377
??? ?? ?????????,????? ??? ??????? ???????? ?? ????? ??????? ?? ???????? ??????,0.730193615
??? ?? ?????????,??? ??????? ????????,0.729716063
??? ?? ?????????,?????? ?? ???????? ???????,0.729249716
??? ?? ?????????,??????? ?? ????? ??????? ???????? ?? ?????? ?????? ?? ??? ?? ??????? ???????,0.72853744
??? ?? ?????????,???????? ????? ?????? ????,0.728009462
??? ?? ?????????,????,0.727273583
??? ?? ?????????,????,0.727273583
??? ?? ?????????,????,0.727273583
??? ?? ?????????,????,0.727273583
??? ?? ?????????,?????? ?? ??????? ???? ???????? ????? ???? ?????,0.727216661
??? ?? ?????????,????? ????? ?????? ?? ???????? ???????? ?????? ?????????,0.726641059
??? ?? ?????????,???? ????? ????? ???? ???????? ?? ???????? ?? ???????,0.726629555
??? ?? ?????????,???????? ?????? ?? ??????? ????????,0.725171506
??? ?? ?????????,????? ??? ?????? ??????? ??? ???????? ????????,0.723926902
??? ?? ?????????,?? ??? ???????? ??? ?? ??????? ?????? ??????? ?? ?????? ??? ?????? ?????????,0.723405004
??? ?? ?????????,??? ??????? ????????,0.723042727
??? ?? ?????????,??? ????? ??? ????? ??? ??????? ???????,0.722956419
??? ?? ?????????,???????? ??? ????? ??????,0.722582936
??? ?? ?????????,??? ???????,0.722133756
??? ?? ?????????,??????? ???? ?????? ???? ?????? ?? ????,0.72207582
??? ?? ?????????,????? ?????? ???? ????? ?? ???? ????? ???? ????????? ??????? ???????,0.720518708
??? ?? ?????????,??? ????? ??????,0.720476151
??? ?? ?????????,????? ??? ?????? ??????? ??? ???????? ????????,0.720223129
??? ?? ?????????,?? ??? ??? ????? ?????? ????? ???????? ?????? ??? ???????,0.719594538
??? ?? ?????????,??? ??????? ????????,0.718672514
??? ?? ?????????,??? ???????? ??????? ?????? ????? ???????? ????????,0.718539238
??? ?? ?????????,?? ?????? ???? ??????? ??? ??????? ????????,0.716278195
??? ?? ?????????,?????? ?? ???????? ???????,0.716274619
??? ?? ?????????,???? ????? ????? ???? ???????? ?? ???????? ?? ???????,0.715077996
??? ?? ?????????,??????? ?????? ?????? ?????? ?? ??????,0.714333534
??? ?? ?????????,???? ????? ??? ????? ??????? ??????? ????????? ??????? ??? ??????? ????????,0.713950276
??? ?? ?????????,??? ??????? ????????,0.712579966
??? ?? ?????????,???????? ???? ????? ????? ???????? ?????? ???????,0.712492466
??? ?? ?????????,??? ??????? ?????? ???????? ?? ????????,0.711940765
??? ?? ?????????,???????? ??? ????? ??????,0.711522579
??? ?? ?????????,?????,0.710571289
??? ?? ?????????,??? ?????? ?? ??? ???? ????? ???????,0.709617257
??? ?? ?????????,??? ???????,0.707841992
??? ?? ?????????,?? ???? ?? ????????,0.707473278
??? ?? ?????????,??????? ??? ????? ???? ?? ??????? ????????,0.70710206
??? ?? ?????????,??????? ?? ????? ??????? ???????? ?? ?????? ?????? ?? ??? ?? ??????? ???????,0.7052086
??? ?? ?????????,???????? ?????? ?? ??????? ????????,0.705181718
??? ?? ?????????,??? ???????,0.704315543
??? ?? ?????????,??????? ???? ?????? ???? ?????? ?? ????,0.703966022
??? ?? ?????????,???????? ????? ????? ??????? ???????,0.702568769
??? ?? ?????????,??????? ?????? ?????? ?????? ?? ??????,0.700148165
??? ?? ?????????,?? ??? ??? ?????? ?????? ????,0.698914289
??? ?? ?????????,?????? ????? ?????? ?? ???????? ?? ????? ??????,0.69887358
??? ?? ?????????,???????? ????? ??? ?????? ???????? ?????? ???????,0.698596656
??? ?? ?????????,???????? ?? ?????? ?????? ?? ??????? ????? ????? ???? ??? ?????? ????????? ?????? ??????,0.698353767
??? ?? ?????????,??? ????? ???? ?? ????????,0.697241664
??? ?? ?????????,??? ???????,0.696790099
??? ?? ?????????,??????? ?? ????? ??????? ???????? ?? ?????? ?????? ?? ??? ?? ??????? ???????,0.695801854
??? ?? ?????????,??? ???????,0.694376945
??? ?? ?????????,??? ???????,0.694128692
??? ?? ?????????,??????? ??? ????? ???? ?? ??????? ????????,0.693768263
??? ?? ?????????,?? ????? ????? ??????? ?? ???????? ?????? ?????? ????? ??????? ?? ???? ????,0.692364693
??? ?? ?????????,???????? ???? ????? ????? ???????? ?????? ???????,0.692266345
??? ?? ?????????,????? ?????? ???? ????? ?? ???? ????? ???? ????????? ??????? ???????,0.692142606
??? ?? ?????????,??? ???????,0.691569805
??? ?? ?????????,?? ???? ?? ????????,0.691194952
??? ?? ?????????,??? ????? ??????? ??????? ???????? ?? ?????? ????????,0.690170705
??? ?? ?????????,?? ????? ???? ????? ?????? ?? ???????? ????? ????,0.68908596
??? ?? ?????????,?? ??? ???????? ??? ?? ??????? ?????? ??????? ?? ?????? ??? ?????? ?????????,0.688403845
??? ?? ?????????,?? ??? ???????? ??? ?? ??????? ?????? ??????? ?? ?????? ??? ?????? ?????????,0.687080801
??? ?? ?????????,?? ????? ????? ??????? ?? ???????? ?????? ?????? ????? ??????? ?? ???? ????,0.686407089
??? ?? ?????????,????? ??? ???? ??????? ??????? ??? ??????? ?? ????????,0.685741901
??? ?? ?????????,?? ?????? ?? ??? ????? ???????? ?? ???????? ??? ??????? ???????,0.684967518
??? ?? ?????????,????? ????? ?????? ?? ???????? ???????? ?????? ?????????,0.684515774
??? ?? ?????????,?? ????? ??? ????,0.684188008
??? ?? ?????????,??????? ??? ??? ??????? ?? ??? ??????? ?????? ?? ???? ?? ?????? ?????????,0.683780432
??? ?? ?????????,????? ??? ?????? ??????? ??? ???????? ????????,0.683137774
??? ?? ?????????,?? ????? ??? ????,0.680070937
??? ?? ?????????,??? ???????,0.67984271
??? ?? ?????????,?????,0.679317594
??? ?? ?????????,?????? ?? ??????? ???? ???????? ????? ???? ?????,0.678727627
??? ?? ?????????,???????? ?? ?????? ?????? ?? ??????? ????? ????? ???? ??? ?????? ????????? ?????? ??????,0.677472353
??? ?? ?????????,???????? ???? ??? ???? ????,0.676255226
??? ?? ?????????,??? ??????? ?????? ???????? ?? ????????,0.676047564
??? ?? ?????????,?? ????? ????? ????? ?????? ???????? ??????? ?? ???? ?????? ??????? ??????,0.674819529
??? ?? ?????????,???????? ????? ????? ??????? ???????,0.673965573
??? ?? ?????????,??? ?????? ???? ???? ????,0.673229575
??? ?? ?????????,?? ?????? ?? ??? ????? ???????? ?? ???????? ??? ??????? ???????,0.673091352
??? ?? ?????????,??????? ?????? ?????? ?????? ?? ??????,0.672820568
??? ?? ?????????,???? ????? ?????? ?? ???????? ???????? ?? ??????,0.672606587
??? ?? ?????????,????? ????? ??? ???? ???? ?????? ????????,0.672449589
??? ?? ?????????,???????? ???? ??? ???? ????,0.671432614
??? ?? ?????????,???????? ???? ??? ???? ????,0.671148658
??? ?? ?????????,??? ????? ??????,0.671007693
??? ?? ?????????,?????? ?? ??????? ???? ???????? ????? ???? ?????,0.667671442
??? ?? ?????????,????? ??? ??????? ???????? ?? ????? ??????? ?? ???????? ??????,0.667197585
??? ?? ?????????,??? ??? ???????? ???? ????? ???????,0.667001784
??? ?? ?????????,???? ??? ????? ???????? ???? ???? ??????,0.666088343
??? ?? ?????????,????? ??? ????? ??????? ??????? ?? ????????,0.665997982
??? ?? ?????????,????? ??? ??????? ???????? ?? ????? ??????? ?? ???????? ??????,0.665426612
??? ?? ?????????,???? ????? ??? ????? ??????? ??????? ????????? ??????? ??? ??????? ????????,0.664394498
??? ?? ?????????,?? ???? ?? ????????,0.662915826
??? ?? ?????????,????? ????? ??? ???? ???? ?????? ????????,0.662879705
??? ?? ?????????,???????? ???? ??? ???? ????,0.662609875
??? ?? ?????????,?? ??? ??? ?????? ?????? ????,0.662124038
??? ?? ?????????,????? ????? ?????? ?? ???????? ???????? ?????? ?????????,0.661260664
??? ?? ?????????,???? ????? ????? ???? ???????? ?? ???????? ?? ???????,0.660721302
??? ?? ?????????,?? ??? ??? ?????? ?????? ????,0.65983808
??? ?? ?????????,??????? ?? ????? ??????? ???????? ?? ?????? ?????? ?? ??? ?? ??????? ???????,0.659420133
??? ?? ?????????,??? ????? ??????? ??????? ???????? ?? ?????? ????????,0.658925176
??? ?? ?????????,??? ?????? ?? ??? ???? ????? ???????,0.658885539
??? ?? ?????????,??? ??? ???????? ???? ????? ???????,0.655840397
??? ?? ?????????,?? ????? ????? ????? ?????? ???????? ??????? ?? ???? ?????? ??????? ??????,0.653614819
??? ?? ?????????,?? ??? ??? ?????? ?????? ????,0.653461874
??? ?? ?????????,??????? ??????? ?????? ????????? ?????? ????? ??????? ?? ???????? ???????,0.652415633
??? ?? ?????????,???????? ????? ????? ??????? ???????,0.652175665
??? ?? ?????????,?? ??? ??? ????? ?????? ????? ???????? ?????? ??? ???????,0.649779201
??? ?? ?????????,??? ??? ???????? ???? ????? ???????,0.64900893
??? ?? ?????????,??????? ???? ?????? ???? ?????? ?? ????,0.647292733
??? ?? ?????????,???? ????? ????? ???? ???????? ?? ???????? ?? ???????,0.645102859
??? ?? ?????????,???? ??? ????? ???????? ???? ???? ??????,0.643495917
??? ?? ?????????,?? ????? ????? ??????? ?? ???????? ?????? ?????? ????? ??????? ?? ???? ????,0.641768992
??? ?? ?????????,?? ???? ?? ????????,0.64130193
??? ?? ?????????,??????? ??? ????? ???? ?? ??????? ????????,0.640795708
??? ?? ?????????,??? ???????,0.640050769
??? ?? ?????????,??? ???????? ??????? ?????? ????? ???????? ????????,0.639731646
??? ?? ?????????,?? ???????? ??????? ??????? ?? ?????????? ??????,0.639655769
??? ?? ?????????,???????? ???? ????? ????? ???????? ?????? ???????,0.637372017
??? ?? ?????????,?? ????? ????? ????? ?????? ???????? ??????? ?? ???? ?????? ??????? ??????,0.634517789
??? ?? ?????????,??????? ??? ????? ???? ?? ??????? ????????,0.634454012
??? ?? ?????????,??? ???????,0.634116471
??? ?? ?????????,????,0.633049905
??? ?? ?????????,????,0.633049905
??? ?? ?????????,????,0.633049905
??? ?? ?????????,????,0.633049905
??? ?? ?????????,?? ??? ???????? ??? ?? ??????? ?????? ??????? ?? ?????? ??? ?????? ?????????,0.632593989
??? ?? ?????????,??????? ???? ?????? ???? ?????? ?? ????,0.631724179
??? ?? ?????????,????,0.631364644
??? ?? ?????????,????,0.631364644
??? ?? ?????????,????,0.631364644
??? ?? ?????????,????,0.631364644
??? ?? ?????????,????? ?????? ???? ????? ?? ???? ????? ???? ????????? ??????? ???????,0.630333662
??? ?? ?????????,??????? ?? ????? ??????? ???????? ?? ?????? ?????? ?? ??? ?? ??????? ???????,0.630284071
??? ?? ?????????,??????? ??????? ?????? ????????? ?????? ????? ??????? ?? ???????? ???????,0.627699375
??? ?? ?????????,???????? ??? ????? ??????,0.627664089
??? ?? ?????????,?? ????? ????? ??????? ?? ???????? ?????? ?????? ????? ??????? ?? ???? ????,0.627450883
??? ?? ?????????,?? ??? ??? ????? ?????? ????? ???????? ?????? ??? ???????,0.626179457
??? ?? ?????????,??? ?????? ???? ???? ????,0.62524116
??? ?? ?????????,????? ????? ?????? ?? ???????? ???????? ?????? ?????????,0.623379946
??? ?? ?????????,?? ????? ??? ????,0.622677207
??? ?? ?????????,??????? ??????? ?????? ????????? ?????? ????? ??????? ?? ???????? ???????,0.622502923
??? ?? ?????????,??? ?????? ?? ????? ??????? ???????,0.622176468
??? ?? ?????????,??????? ??? ????? ???? ?? ??????? ????????,0.621917844
??? ?? ?????????,??????? ???? ?????? ???? ?????? ?? ????,0.61936444
??? ?? ?????????,??? ?? ???,0.619141579
??? ?? ?????????,??? ?? ???,0.619141579
??? ?? ?????????,??? ?? ???,0.619141579
??? ?? ?????????,???????? ???? ????? ????? ???????? ?????? ???????,0.616629481
??? ?? ?????????,?? ???? ?? ????????,0.615895033
??? ?? ?????????,?? ????? ????? ????? ?????? ???????? ??????? ?? ???? ?????? ??????? ??????,0.61417371
??? ?? ?????????,?? ????? ????? ??????? ?? ???????? ?????? ?????? ????? ??????? ?? ???? ????,0.613145828
??? ?? ?????????,???????? ??? ????? ??????,0.613066435
??? ?? ?????????,?? ???????? ??????? ??????? ?? ?????????? ??????,0.610559464
??? ?? ?????????,???? ????? ????? ???? ???????? ?? ???????? ?? ???????,0.610164404
??? ?? ?????????,?? ??? ???????? ??? ?? ??????? ?????? ??????? ?? ?????? ??? ?????? ?????????,0.609451532
??? ?? ?????????,??????? ??? ??? ??????? ?? ??? ??????? ?????? ?? ???? ?? ?????? ?????????,0.60742259
??? ?? ?????????,??????? ??? ??? ??????? ?? ??? ??????? ?????? ?? ???? ?? ?????? ?????????,0.606706619
??? ?? ?????????,?? ???????? ??????? ??????? ?? ?????????? ??????,0.605953217
??? ?? ?????????,??? ?? ???,0.605929494
??? ?? ?????????,??? ?? ???,0.605929494
??? ?? ?????????,??? ?? ???,0.605929494
??? ?? ?????????,??? ?????? ?? ????? ??????? ???????,0.605777085
??? ?? ?????????,???? ??? ????? ???????? ???? ???? ??????,0.601536155
??? ?? ?????????,????,0.601030469
??? ?? ?????????,????,0.601030469
??? ?? ?????????,????,0.601030469
??? ?? ?????????,????,0.601030469
??? ?? ?????????,??? ???????? ??????? ?????? ????? ???????? ????????,0.600669682
??? ?? ?????????,??? ???????,0.59838444
??? ?? ?????????,?? ???????? ??????? ??????? ?? ?????????? ??????,0.595345914
??? ?? ?????????,?????,0.595070362
??? ?? ?????????,??????? ??? ??? ??????? ?? ??? ??????? ?????? ?? ???? ?? ?????? ?????????,0.594335735
??? ?? ?????????,??? ?????? ?? ????? ??????? ???????,0.590361953
??? ?? ?????????,????? ??? ??????? ???????? ?? ????? ??????? ?? ???????? ??????,0.590118766
??? ?? ?????????,???? ????? ??? ????? ??????? ??????? ????????? ??????? ??? ??????? ????????,0.586614847
??? ?? ?????????,??? ?????? ?? ????? ??????? ???????,0.586324453
??? ?? ?????????,??? ?????? ?? ????? ??????? ???????,0.58417809
??? ?? ?????????,???????? ?????? ?? ??????? ??????????? ????? ???? ?? ?????? ?????? ?????? ???????,0.583552003
??? ?? ?????????,??? ?? ???,0.581783891
??? ?? ?????????,??? ?? ???,0.581783891
??? ?? ?????????,??? ?? ???,0.581783891
??? ?? ?????????,???? ??? ????? ???????? ???? ???? ??????,0.581520259
??? ?? ?????????,?? ???????? ??????? ??????? ?? ?????????? ??????,0.581411481
??? ?? ?????????,???? ????? ??? ????? ??????? ??????? ????????? ??????? ??? ??????? ????????,0.579325616
??? ?? ?????????,?????? ?? ??????? ???? ???????? ????? ???? ?????,0.577904224
??? ?? ?????????,?? ????? ??? ????,0.577399909
??? ?? ?????????,??? ????? ??????,0.576809168
??? ?? ?????????,???????? ?????? ?? ??????? ??????????? ????? ???? ?? ?????? ?????? ?????? ???????,0.576140761
??? ?? ?????????,??? ???????? ??????? ?????? ????? ???????? ????????,0.573627293
??? ?? ?????????,?? ??? ??? ?????? ?????? ????,0.573087931
??? ?? ?????????,??? ???,0.570533991
??? ?? ?????????,??? ???,0.570533991
??? ?? ?????????,??? ???,0.570533991
??? ?? ?????????,??? ???,0.570533991
??? ?? ?????????,??? ???,0.570533991
??? ?? ?????????,??? ???,0.570533991
??? ?? ?????????,?? ??? ??? ????? ?????? ????? ???????? ?????? ??? ???????,0.570518076
??? ?? ?????????,??? ?????? ???? ???? ????,0.567040205
??? ?? ?????????,?????,0.565425634
??? ?? ?????????,?? ??? ??? ????? ?????? ????? ???????? ?????? ??? ???????,0.561464667
??? ?? ?????????,???????? ?????? ?? ??????? ??????????? ????? ???? ?? ?????? ?????? ?????? ???????,0.558880866
??? ?? ?????????,?? ???,0.556750357
??? ?? ?????????,?? ???,0.556750357
??? ?? ?????????,?? ???,0.556750357
??? ?? ?????????,???? ????? ??? ????? ??????? ??????? ????????? ??????? ??? ??????? ????????,0.55562973
??? ?? ?????????,?????,0.553259492
??? ?? ?????????,?????,0.553259492
??? ?? ?????????,?????,0.553259492
??? ?? ?????????,??? ???,0.548659623
??? ?? ?????????,??? ???,0.548659623
??? ?? ?????????,??? ???,0.548659623
??? ?? ?????????,??? ???,0.548659623
??? ?? ?????????,??? ???,0.548659623
??? ?? ?????????,??? ???,0.548659623
??? ?? ?????????,?? ????? ????? ????? ?????? ???????? ??????? ?? ???? ?????? ??????? ??????,0.548061848
??? ?? ?????????,??????? ??????? ?????? ????????? ?????? ????? ??????? ?? ???????? ???????,0.545166075
??? ?? ?????????,???????? ?????? ?? ??????? ??????????? ????? ???? ?? ?????? ?????? ?????? ???????,0.544329047
??? ?? ?????????,??????? ??? ??? ??????? ?? ??? ??????? ?????? ?? ???? ?? ?????? ?????????,0.53985399
??? ?? ?????????,????,0.538428545
??? ?? ?????????,????,0.538428545
??? ?? ?????????,????,0.538428545
??? ?? ?????????,????,0.538428545
??? ?? ?????????,?????,0.529957771
??? ?? ?????????,??? ?? ???,0.528131902
??? ?? ?????????,??? ?? ???,0.528131902
??? ?? ?????????,??? ?? ???,0.528131902
??? ?? ?????????,??? ???,0.525113165
??? ?? ?????????,??? ???,0.525113165
??? ?? ?????????,??? ???,0.525113165
??? ?? ?????????,??? ???,0.525113165
??? ?? ?????????,??? ???,0.525113165
??? ?? ?????????,??? ???,0.525113165
??? ?? ?????????,?????,0.519647896
??? ?? ?????????,?????,0.519647896
??? ?? ?????????,?????,0.519647896
??? ?? ?????????,??? ???,0.512091696
??? ?? ?????????,??? ???,0.512091696
??? ?? ?????????,??? ???,0.512091696
??? ?? ?????????,??? ???,0.512091696
??? ?? ?????????,??? ???,0.512091696
??? ?? ?????????,??? ???,0.512091696
??? ?? ?????????,???????? ?????? ?? ??????? ??????????? ????? ???? ?? ?????? ?????? ?????? ???????,0.505635381
??? ?? ?????????,?? ???,0.504624248
??? ?? ?????????,?? ???,0.504624248
??? ?? ?????????,?? ???,0.504624248
??? ?? ?????????,?????,0.500474274
??? ?? ?????????,?????,0.500474274
??? ?? ?????????,?????,0.500474274
??? ?? ?????????,?? ???,0.494539142
??? ?? ?????????,?? ???,0.494539142
??? ?? ?????????,?? ???,0.494539142
??? ?? ?????????,??? ?????? ???? ???? ????,0.478865325
??? ?? ?????????,??? ?????? ???? ???? ????,0.475555867
??? ?? ?????????,??? ?? ???,0.475413412
??? ?? ?????????,??? ?? ???,0.475413412
??? ?? ?????????,??? ?? ???,0.475413412
??? ?? ?????????,??? ???,0.459327698
??? ?? ?????????,??? ???,0.459327698
??? ?? ?????????,??? ???,0.459327698
??? ?? ?????????,??? ???,0.459327698
??? ?? ?????????,??? ???,0.459327698
??? ?? ?????????,??? ???,0.459327698
??? ?? ?????????,?? ???,0.454541087
??? ?? ?????????,?? ???,0.454541087
??? ?? ?????????,?? ???,0.454541087
??? ?? ?????????,?? ???,0.431630373
